,LA,LP,LL,LW,RLW,LMF,LS,LA_Boxcox,LP_Boxcox,LL_Boxcox,LW_Boxcox,RLW_Boxcox,LMF_Boxcox
0,439.82,145.78,39.32,28.29,1.39,0.082782602,3.0,3.467019761531089,5.428594732692311,2.940771628366169,3.14294703704595,0.2945063662714666,-1.737058468509532
1,932.84,248.44,57.47,55.63,1.03,0.06045387,3.0,3.665548732848326,6.065776618255741,3.1743336641405637,3.732603898333134,0.029258807118466592,-1.8756570305786933
2,2300.28,371.32,97.98,66.92,1.46,0.066733517,3.0,3.866579637583138,6.553783301983834,3.4843610163363237,3.891162343691993,0.33297756559215047,-1.833525425638748
3,345.48,123.21,32.28,22.95,1.41,0.091031351,3.0,3.396458895776811,5.2299299939182715,2.814887219218265,2.9575073328315002,0.30582742637964944,-1.692455892818027
4,449.57,100.21,44.73,14.42,3.1,0.179075095,1.0,3.47325558221637,4.9874449259545655,3.021356541018592,2.5403631255586547,0.7848238015916343,-1.3338360031727752
5,252.44,150.68,35.98,34.88,1.03,0.044474077,3.0,3.2993492567258498,5.467774055495348,2.884515295536055,3.3271366388813477,0.029258807118466592,-1.9986061254733891
6,554.46,114.93,50.0,17.96,2.78,0.167904911,2.0,3.531492717832996,5.148098325819839,3.0899373305898092,2.7383265423428105,0.7330668605096602,-1.3712963083517347
7,593.44,187.43,43.87,29.61,1.48,0.067570728,3.0,3.5498271293570105,5.727527225380844,3.009304041523282,3.1831817679835805,0.3434018471681553,-1.8281182190795013
8,432.21,90.23,37.89,16.88,2.24,0.212350304,3.0,3.462035608485262,4.864980680744814,2.9173707167779592,2.68256563969854,0.6181924263153403,-1.2310336551192333
9,687.71,213.51,48.69,45.99,1.06,0.060343277,3.0,3.5887397367140097,5.883502224744762,3.0736767996777647,3.568161873637959,0.05711078367264145,-1.8764255536401815
10,1076.31,202.27,90.62,21.77,4.16,0.105228752,1.0,3.6999605369739914,5.818671098001979,3.4402713452710354,2.910486721855392,0.9065495925080463,-1.6218238992196374
11,778.31,169.98,56.74,30.39,1.87,0.107749919,2.0,3.6205029708564886,5.6109791757927985,3.1666466892322704,3.2060914741027657,0.5080903662539253,-1.6099814750008186
12,1536.66,168.02,65.76,36.86,1.78,0.217728769,1.0,3.781329474286625,5.597173161192689,3.2546126646637745,3.3754627630954603,0.4755408065611479,-1.2154850089050848
13,1294.55,217.28,63.85,47.06,1.36,0.109682999,3.0,3.7428959400761506,5.904510476765713,3.2371683391751103,3.5880981915020285,0.2769983690872569,-1.6010304050330795
14,546.36,126.35,36.52,27.94,1.31,0.136895255,3.0,3.5274874026415275,5.259579996360829,2.8939997782657088,3.1319517846408984,0.2463189145525122,-1.4852365308394444
15,452.52,114.7,52.56,13.26,3.96,0.137584951,1.0,3.475110234518243,5.145744796879215,3.120372472756396,2.46431006688839,0.887843881698055,-1.4825176573683327
16,623.97,116.34,50.7,17.63,2.88,0.184401981,2.0,3.5632008673864717,5.162427795749731,3.0984307367281887,2.7216658913047027,0.7502837682693041,-1.3165385576941266
17,865.19,136.45,58.62,21.54,2.72,0.185876464,1.0,3.6470278911932965,5.350343292683842,3.186223012131817,2.901014248845377,0.7222249229660329,-1.3118117218508425
18,711.58,229.04,56.5,50.98,1.11,0.054257659,3.0,3.597578111372341,5.967851149085656,3.1640951184159283,3.65731958680432,0.10068398083393759,-1.9203056412258102
19,835.64,178.41,59.87,30.79,1.94,0.105012458,3.0,3.6383812197792595,5.668657613029384,3.1988519865548586,3.217604581358808,0.531629870112597,-1.6228489660502918
20,979.95,192.41,54.2,48.69,1.11,0.105878707,3.0,3.677514446251118,5.758867200238958,3.1390057700801046,3.6175823069331403,0.10068398083393759,-1.618752343996643
21,1691.85,215.17,92.46,32.58,2.84,0.146170054,3.0,3.8023093562726014,5.892796341646699,3.451662124708072,3.267293366033491,0.7435200969366168,-1.4494361473910533
22,1110.42,249.26,61.4,47.55,1.29,0.071489471,3.0,3.707331469979474,6.069751100786849,3.2139118007476473,3.597071481523617,0.23348595927794386,-1.8034060852523932
23,990.12,151.12,66.38,23.15,2.87,0.173421898,1.0,3.680006617130403,5.4712317493832385,3.260152886328766,2.9652277754775755,0.748607803606476,-1.3525862650724068
24,309.23,115.65,33.04,25.58,1.29,0.092480536,3.0,3.3628662614364138,5.155436589551652,2.8298990812489246,3.0538625216845485,0.23348595927794386,-1.6849114996266403
25,572.65,198.91,55.43,35.2,1.57,0.057894329,3.0,3.5402357167308316,5.798614256101049,3.152568974801519,3.3351368069611427,0.38751300823773976,-1.8936986079678675
26,270.52,81.65,36.56,11.33,3.23,0.162310641,2.0,3.321301385322534,4.748741968503002,2.894696043374835,2.321021046278352,0.803348644319081,-1.3907072048312097
27,698.8,206.64,51.87,46.36,1.12,0.065461221,3.0,3.5928913245889778,5.8442807642608905,3.112336286072031,3.5751096633920443,0.10900250570052679,-1.8418331027737618
28,1114.33,157.95,67.69,24.4,2.77,0.178662972,1.0,3.708158919349961,5.523692564855271,3.2716696454653094,3.0119662859111798,0.7312874758585579,-1.3351889829850185
29,674.8,179.03,46.93,41.06,1.14,0.084213834,3.0,3.5838038974761797,5.672795117146958,3.0510379421528127,3.4696237751036088,0.12526845354571445,-1.7291060371076117
30,581.53,168.98,49.53,35.52,1.39,0.081463207,3.0,3.544383052156531,5.6039546189714295,3.0841591527504875,3.343061892188221,0.2945063662714666,-1.7444740606403333
31,391.78,107.9,36.75,23.35,1.57,0.134604433,3.0,3.433653518614096,5.074019311991661,2.8979916325333854,2.972879343978144,0.38751300823773976,-1.4943357295172441
32,1237.6,265.05,67.2,42.29,1.59,0.07046682,3.0,3.7325836282727565,6.143917159786975,3.2673914594016717,3.495314106002404,0.3967394935637946,-1.8097629835636482
33,390.32,99.62,44.42,13.22,3.36,0.157321371,1.0,3.4325631776047287,4.980539958041954,3.0170423383202474,2.461565873253159,0.8206537943889346,-1.4084126495179925
34,853.15,136.89,60.05,21.57,2.78,0.182113415,1.0,3.64354849580329,5.354148174266647,3.2006460864644732,2.9022557225821513,0.7330668605096602,-1.323927124074624
35,253.69,93.84,28.64,19.01,1.51,0.115235779,3.0,3.3009272131849534,4.910724670223387,2.7370095316018914,2.789299659060711,0.35859919508182697,-1.575909976266118
36,1018.76,152.94,42.9,41.07,1.04,0.174216668,3.0,3.6868622007627385,5.485431473767706,2.9953865917388094,3.46983584226038,0.03869371599102605,-1.3499249488731262
37,438.67,100.14,44.21,15.51,2.85,0.174977719,1.0,3.466273271840671,4.986627748831057,3.0141005115113773,2.606252504839463,0.745226062046349,-1.3473843899027318
38,353.9,150.75,42.74,30.86,1.38,0.062291087,3.0,3.4036551995802196,5.468324795066213,2.993056914860643,3.2196034163457954,0.288741923178004,-1.8630297335322297
39,346.57,163.02,43.38,23.95,1.81,0.052163795,3.0,3.3974023390164025,5.561236459375863,3.002317363792985,2.9954326172156405,0.48669458003862515,-1.9361880792194652
40,205.4,87.5,40.33,9.29,4.34,0.10731102,1.0,3.232017030751285,4.829197897418717,2.9567295071082524,2.13898364470192,0.9221296347775093,-1.6120292095234205
41,750.89,218.11,54.74,43.84,1.25,0.063137177,2.0,3.6113810606176813,5.909088315823237,3.1450025798020254,3.526606105722868,0.20678240991806923,-1.8573009204974638
42,986.26,159.22,70.44,22.01,3.2,0.155616689,1.0,3.6790643705135415,5.533205172588194,3.2950503800801125,2.920261007264256,0.7991867901753616,-1.4145508890825118
43,1152.03,234.88,75.61,36.71,2.06,0.083527927,3.0,3.7159617376870564,5.998147369227254,3.336346202919077,3.371897056794091,0.5688106386426607,-1.7329054329899145
44,441.5,174.63,44.57,36.15,1.23,0.057909924,3.0,3.4681060640311836,5.643127639237547,3.0191340737466277,3.3584502525009774,0.19288164222021004,-1.8935870305344384
45,1580.29,281.05,80.06,45.03,1.78,0.080025723,3.0,3.787477538802254,6.2148372443087725,3.369422202371709,3.549861274883364,0.4755408065611479,-1.752648404023883
46,276.23,77.57,33.12,12.42,2.67,0.183629838,2.0,3.327868891668598,4.689262124755122,2.8314566263063994,2.4047964594246842,0.7128761430566825,-1.3190242825233571
47,959.94,161.0,71.44,22.27,3.21,0.148133174,3.0,3.6725186300426054,5.54641517137844,3.3032987734893626,2.9307258420595366,0.8005813835169282,-1.4420611036714954
48,412.86,104.17,46.85,13.87,3.38,0.15218697,2.0,3.448870474279487,5.032798316230755,3.0499862880846274,2.5051267557180097,0.8232159422596045,-1.4270428121465673
49,650.53,203.64,53.01,43.26,1.23,0.062748181,3.0,3.5742088895091824,5.826756809478076,3.1255497431045445,3.5150332079738975,0.19288164222021004,-1.8599281561573575
50,454.6,179.52,43.96,32.36,1.36,0.056423983,3.0,3.4764091769867616,5.676055299169586,3.0105777574389947,3.2613410837181,0.2769983690872569,-1.9043130794815637
51,1921.92,333.06,88.35,53.13,1.66,0.06930273,2.0,3.8294788522005145,6.42107351356263,3.425854425408137,3.692977267478115,0.42754407771130026,-1.817077110911805
